Date,Start,End,Duration,Status,Activity,Description,Competencies,Edit,Coach Notes,Delete,Submission History
14/01/2026,2:00 PM,2:30 PM,30,Approved,Self-led Learning on EDUKATE,"I learned about the ARIMA family of time series forecasting models, including ARIMA, SARIMA, and SARIMAX, and how they are used to model different types of temporal patterns. I developed an understanding of how differencing is applied to transform non-stationary time series data into stationary data by removing trends and seasonality, including both first-order differencing and seasonal differencing.

I learned how ARIMA models are structured using autoregressive (AR), differencing (I), and moving average (MA) components, and how SARIMA extends ARIMA by explicitly modelling seasonal patterns. I also learned that SARIMAX further extends this approach by allowing the inclusion of exogenous variables, enabling the model to incorporate external factors such as economic indicators, weather data, or marketing activity.

In addition, I explored the strengths and weaknesses of each model type. I learned that ARIMA models are best suited for short-term forecasting with stationary or differenced data, while SARIMA is more appropriate when strong and consistent seasonal patterns exist. SARIMAX is useful for complex real-world scenarios where external variables influence the time series, but it introduces additional complexity and risk of overfitting.

I also learned about the key assumptions underlying ARIMA-based models, including stationarity, linearity, independence of errors, and the absence of multicollinearity when using exogenous variables. Understanding these assumptions helps ensure that forecasts are valid and that residuals behave as stationary white noise.

This learning has improved my ability to select appropriate time series models based on data characteristics, understand model limitations, and apply differencing and diagnostics to build reliable and interpretable forecasts.",B4 S10 S11 K13 K14 S2 B5," - "," - "," - "," - "
14/01/2026,1:30 PM,2:00 PM,30,Approved,Self-led Learning on EDUKATE,"I learned about Facebook’s Prophet forecasting model and how it is designed to handle complex real-world time series data. I developed an understanding of Prophet’s core components, including trend, seasonality, and the incorporation of holidays and events, which allows it to model non-linear growth patterns and recurring effects more flexibly than traditional statistical models.

I learned how Prophet requires data to be structured in a specific time series format using timestamp (ds) and value (y) columns, and how it generates forecasts alongside confidence intervals to quantify uncertainty in predictions.

In addition, I learned that Prophet is particularly well-suited for data with long-term trends, multiple seasonal patterns, missing values, and outliers, making it useful for business forecasting scenarios such as demand, sales, or website traffic. I also learned about its limitations, including situations where Prophet may be excessive, such as when data is stable, short-term forecasts are required, or when no meaningful trend or seasonality is present.

This learning improves my ability to evaluate advanced forecasting tools, select appropriate models based on data complexity, and balance model flexibility against simplicity to ensure reliable and interpretable forecasts.",K14 K13 S11 S10 B5 B4 S2," - "," - "," - "," - "
14/01/2026,12:00 PM,12:30 PM,30,Approved,Self-led Learning on EDUKATE,"I learned how exponential smoothing techniques are used for time series forecasting and how the choice of method depends on the structure of the data. I developed an understanding of when exponential smoothing is appropriate, particularly for data streams that are stable over time and require quick, computationally efficient forecasting.

I learned the differences between key exponential smoothing models, including Simple Exponential Smoothing (SES) for data with no trend or seasonality, Holt’s Linear Trend Model for data with a trend but no seasonality, and the Holt-Winters Seasonal Model for data containing both trend and seasonal components.

In addition, I learned the limitations of exponential smoothing and recognised scenarios where it is not suitable, such as when data fluctuates unpredictably or exhibits frequent structural changes. This helps ensure that appropriate forecasting techniques are selected based on data behaviour rather than convenience.

This learning improves my ability to select, justify, and apply forecasting models appropriately, supporting more reliable predictions and better data-driven decision-making.",K13 S2 B4 B5 S10 S11 K14," - "," - "," - "," - "
14/01/2026,11:30 AM,12:00 PM,30,Approved,Self-led Learning on EDUKATE,"I developed a solid understanding of confidence intervals and their role in quantifying uncertainty in statistical estimates. I learned how confidence intervals provide a range of plausible values for unknown population parameters based on sample data, rather than a single point estimate.

I also learned how confidence intervals are constructed using sample statistics, standard error, confidence levels, and appropriate probability distributions, including the normal distribution for large samples and the t-distribution for smaller samples.

In addition, I explored how confidence intervals are applied within time series forecasting to express uncertainty around predictions, improving the reliability and interpretability of forecasts. I gained awareness of common misinterpretations, such as confusing confidence intervals with prediction intervals or incorrectly interpreting confidence levels.

This learning enhances my ability to communicate statistical results clearly, assess the reliability of estimates, and support informed, data-driven decision-making across analytical and business contexts.",B5 B4 K14 S10 K13 S7," - "," - "," - "," - "
14/01/2026,11:00 AM,11:30 AM,30,Approved,Self-led Learning on EDUKATE,"I developed a deeper understanding of stationarity in time series data and why it is a critical assumption for many forecasting models. I learned how a stationary time series maintains constant statistical properties, such as mean, variance and autocorrelation, and why non-stationary data can lead to unreliable predictions.

I also learned how to assess stationarity using formal statistical tests, including the Augmented Dickey-Fuller (ADF) test and the Kwiatkowski-Phillips-Schmidt-Shin (KPSS) test. This included understanding the differing null hypotheses of each test and how they provide complementary perspectives when used together.

In addition, I learned how the outcomes of these tests inform decisions about data transformation, such as differencing, prior to applying forecasting models. This learning improves my ability to critically assess the suitability of time series data for analysis and supports more robust, evidence-based decision-making in a business context.",S10 B5 B4 S2 K14 K13 S11," - "," - "," - "," - "
14/01/2026,10:30 AM,11:00 AM,30,Approved,Self-led Learning on EDUKATE,"I learned the main approaches to time series forecasting, including the differences between statistical methods and machine learning methods, and the types of problems each approach is best suited to. I gained an understanding of commonly used forecasting techniques such as moving averages, exponential smoothing and ARIMA models, as well as how machine learning models can be used to capture more complex or non-linear patterns in time series data.

I also learned the end-to-end framework for time series forecasting, from data collection and preprocessing through to model selection, training, evaluation and refinement. This improved my understanding of why model evaluation is a critical step and how it supports informed decision-making.

In addition, I learned how evaluation metrics such as MSE, RMSE, MAE and MAPE are used to assess forecasting accuracy, and how different metrics can be interpreted depending on the business context. This learning helps me understand how to assess the reliability of forecasts in the workplace and communicate model performance clearly to stakeholders.",S7 B5 K14 K13 K11 B4 S11 S10," - "," - "," - "," - "
14/01/2026,10:00 AM,10:30 AM,30,Approved,Self-led Learning on EDUKATE,"I learned how correlation can be used in time series analysis to measure the strength and direction of the relationship between variables, and how this can support understanding of how different time series move together over time. I gained an understanding of how shifting time series data allows for alignment of datasets, identification of lagged effects, and the creation of lag features for predictive analysis.

I also learned how autocorrelation measures the relationship between a time series and its past values, and how this can be used to identify repeating patterns such as seasonality. In addition, I gained an introduction to the concept of stationarity, including the importance of constant mean, variance and autocorrelation when preparing data for forecasting models.

This learning has improved my understanding of when time series data is suitable for modelling and how techniques such as differencing can be used to transform non-stationary data into a stationary form. In the workplace, these concepts support more reliable analysis and help ensure that forecasting approaches are based on appropriate data assumptions.",K13 B5 B4 S2 K14 S10 S11," - "," - "," - "," - "
08/01/2026,11:00 AM,11:30 AM,30,Approved,Self-led Learning on EDUKATE,"I learned how time series data can be reshaped using resampling and smoothing techniques to make it more suitable for analysis. I gained an understanding of how resampling changes the frequency of observations, including the difference between upsampling and downsampling, and when each approach is appropriate depending on the analytical requirement.

I also learned how interpolation and aggregation methods can be used during resampling to either estimate missing values or summarise data across larger time intervals. In addition, I gained an introduction to smoothing techniques, including moving averages and exponential smoothing, and how these help reduce noise and highlight underlying trends in time series data.

This learning has improved my ability to prepare and structure time-based datasets in the workplace, allowing me to align data with business reporting needs, reduce short-term volatility, and better support trend analysis and forecasting activities.",S15 S10 K3 K11 K13 S2 B2 B4," - "," - "," - "," - "
08/01/2026,10:30 AM,11:00 AM,30,Approved,Self-led Learning on EDUKATE,"I learned how date and time data must be represented in a consistent and unambiguous format to support time series analysis, and gained an introduction to the ISO 8601 standard for representing dates, times and time zones. I improved my understanding of why different regional date formats can cause ambiguity and how standardisation supports reliable data processing in analytical tools such as Python.

I also learned how dates and times can be parsed, converted and manipulated using Python libraries including datetime, dateutil, pytz and Pandas. This has given me a better understanding of how to convert raw date strings into usable datetime objects, handle missing or ambiguous dates, and work with time zone–aware and time zone–naive timestamps.

These skills enhance my ability to prepare and clean time-based data in the workplace, ensuring datasets are structured correctly for time series analysis, visualisation and forecasting across different systems and geographic regions.",S15 B1 B4 K6 K3 K8 K11 S2 S6," - "," - "," - "," - "
08/01/2026,10:00 AM,10:30 AM,30,Approved,Self-led Learning on EDUKATE,"I learned the difference between additive and multiplicative time series models and how the relationship between trend, seasonality and noise affects the structure of a time series. I gained an understanding of when an additive model is appropriate, where seasonal variation remains relatively constant, and when a multiplicative model should be used, where seasonal effects change proportionally with the level of the data.

This learning has improved my insight into how visual inspection of time series data can inform the choice of model, and how selecting the correct model impacts the accuracy of forecasting and interpretation. I also learned how additive and multiplicative trends relate to linear and exponential growth patterns.

These concepts enhance my ability to assess time-based datasets in the workplace and choose an appropriate analytical approach when working with business data such as sales, demand or customer activity over time.",B4 S10 K14 K13 S11," - "," - "," - "," - "
08/01/2026,9:30 AM,10:00 AM,30,Approved,Self-led Learning on EDUKATE,"I learned how time series data can be decomposed into its core components: trend, seasonality and noise, and how each component represents a different underlying pattern within time-based data. I gained an understanding of how trends can take different forms, including linear, quadratic and exponential, and how these trends describe long-term movement within a dataset.

I also learned how seasonal patterns occur at fixed and predictable intervals, and how separating seasonality from trend and noise helps to better understand recurring behaviour within the data. This learning improved my insight into how residuals represent unexplained variation that cannot be attributed to trend or seasonality.

This has given me a better understanding of how decomposing a time series supports forecasting, anomaly detection and decision-making. In the workplace, these concepts help me interpret time-based performance data more accurately and understand which underlying factors are driving observed changes over time.",K13 S10 S11 K14 B4," - "," - "," - "," - "
08/01/2026,9:00 AM,9:30 AM,30,Approved,Self-led Learning on EDUKATE,"I learned the fundamentals of time series data and time series analysis, including how data points are recorded in chronological order and why the time component is critical for analysis. I gained an introduction to key concepts such as trends, seasonality, cyclic patterns and temporal dependencies, and learned how these differ from standard machine learning approaches where observations are treated as independent.

This learning has given me a better understanding of when time series techniques are appropriate and when time-related variables may not add value. I also learned how visualisation techniques such as line charts and other time series plots can be used to explore patterns, identify anomalies, and communicate insights clearly.

These concepts improve my confidence in analysing time-based datasets in the workplace, such as sales, customer activity or operational metrics, and help me understand how time series forecasting can be applied to support prediction and decision-making.",B4 S14 K14 K13 K3 S11 S10," - "," - "," - "," - "
12/12/2025,9:30 AM,11:30 AM,120,Approved,Self-led Learning outside of EDUKATE,"I learned how to create and manage isolated Python environments using the venv module within Visual Studio Code. I learned the technical commands to initialize a virtual environment, activate it via the terminal, and configure VS Code to recognize the specific interpreter associated with that environment. I also learned how to use a requirements.txt file to document and install specific library versions, ensuring that my project dependencies remain consistent and do not conflict with other global Python installations.

This has given me a better understanding of how to maintain a professional and secure development environment by preventing package version conflicts. This has improved my confidence in setting up a clean workspace for new projects, which allows me to understand the difference between local and global configurations. These skills enhance my ability to collaborate with others, as I can now provide a reproducible environment that ensures my analysis scripts run correctly on different machines within the business.",S15 B2 K2 B1 S1 K11," - "," - "," - "," - "
11/12/2025,2:00 PM,3:30 PM,90,Approved,Self-led Learning outside of EDUKATE,"I learned how to utilize the pivot_table function in Pandas to summarize and aggregate complex datasets. I learned how to define indexes, columns, and values to reshape data, and how to apply different aggregation functions—such as mean, sum, and count—to extract specific insights from multi-dimensional data. I also gained an introduction to handling missing values during the pivoting process and using ""margins"" to calculate totals across rows and columns.

This has given me a better understanding of how to transform long-format data into a wide-format summary, which simplifies the comparison of different variables. This has improved my confidence in performing exploratory data analysis without needing to write complex loops. These skills enhance my ability to quickly generate summary reports from raw organizational data, allowing me to identify key performance indicators and trends that support business decision-making.",B4 S15 S14 S4 K13 K11 S10," - "," - "," - "," - "
18/12/2025,4:00 PM,5:30 PM,90,Approved,Self-led Learning outside of EDUKATE,"I learned how to enhance the user experience by implementing activity indicators and progress notifications using pn.indicators and the pn.state.notifications module. I explored how to provide visual feedback during long-running asynchronous tasks—such as data processing or model training—by utilizing the LoadingSpinner and the Tqdm progress bar wrapper. Additionally, I learned how to use the pn.state.notifications system to push real-time alerts (success, info, warning, or error) to the user, ensuring the application communicates its internal state clearly during interaction.

This has given me a better understanding of the ""human-in-the-loop"" design requirements for data-heavy applications. Allows me to understand the difference between a ""frozen"" interface and one that remains responsive and communicative while background logic is executing. These skills enhance my ability to build user-friendly internal tools where stakeholders are kept informed of an operation's status, significantly reducing the likelihood of accidental multiple submissions or user frustration during high-latency processes.",K7 K11 S5 S12 B1," - "," - "," - "," - "
18/12/2025,2:45 PM,4:00 PM,75,Approved,Self-led Learning outside of EDUKATE,"I learned the technical mechanics of the Panel application execution lifecycle and how to implement performance optimizations using pn.cache. I explored the distinction between module-level execution (shared across all user sessions) and script-level execution (unique to each session), and practiced using the @pn.cache decorator to store and reuse the results of expensive operations. By applying this to both data loading simulations and interactive slider-bound functions, I observed how caching transforms high-latency tasks into instantaneous UI updates once the initial computation is stored.

This has given me a better understanding of how Panel manages state and memory across multiple browser tabs and users. Allows me to understand the difference between global objects defined in external modules and session-specific objects defined within the main application script. These skills enhance my ability to build efficient, production-ready dashboards that can handle large datasets or complex algorithms without degrading the user experience or overloading server resources during high traffic.",S15 B4 K11," - "," - "," - "," - "
18/12/2025,12:30 PM,2:00 PM,90,Approved,Self-led Learning outside of EDUKATE,"I learned how to utilise CSS (Cascading Style Sheets) to perform granular visual adjustments to individual Panel components through the styles and stylesheets parameters. I explored how to pass Python dictionaries to the styles argument to modify container properties—such as border-radius, box-shadow, and padding—and I practiced using raw CSS strings within stylesheets to target and style internal HTML elements (like nested div tags) that are otherwise inaccessible through high-level parameters.

This has given me a better understanding of the distinction between styling a component's outer wrapper and its internal DOM structure. Allows me to understand the difference between using pre-set design frameworks and implementing custom brand-specific styles to meet precise aesthetic requirements. These skills enhance my ability to create bespoke data visualizations and indicators that stand out, ensuring that critical data points—like wind speed metrics—are highlighted effectively for the end-user.",B4 K11 S5 S14 K7," - "," - "," - "," - "
18/12/2025,11:00 AM,12:30 PM,90,Approved,Self-led Learning outside of EDUKATE,"I learned how to apply high-level UI frameworks to data applications using the design parameter within pn.extension. I explored the differences between major design languages, specifically ""Material"" for clean Google-inspired interfaces, ""Bootstrap"" for traditional responsive layouts, and ""Fast"" for modern Microsoft-based aesthetics. I also practiced implementing global theme toggles, such as switching between ""default"" and ""dark"" modes, to ensure consistent visual styling across all widgets and containers.

This has given me a better understanding of how to decouple the functional logic of an application from its visual presentation layer. Allows me to understand the difference between ""native"" Bokeh styling and higher-level CSS frameworks that offer a more polished, consumer-grade look. These skills enhance my ability to rapidly prototype tools that meet internal brand guidelines and improve user accessibility without the need for manual CSS overrides or deep front-end development knowledge.",K7 B1 S12 S5 K11," - "," - "," - "," - "
18/12/2025,9:00 AM,11:00 AM,120,Approved,Self-led Learning outside of EDUKATE,"I learned how to utilize the pn.template namespace to deploy professional, multi-area application structures featuring headers, sidebars, and main content zones. I explored the implementation of the FastListTemplate, gaining insight into how to configure global application properties such as the title, accent colors for branding, and the main_layout behavior. Additionally, I learned how to handle theme persistence by using pn.config.theme to dynamically synchronize the styling of underlying visualization libraries, like Altair, with the user's selected light or dark mode.

This has given me a better understanding of the architectural requirements for transitioning from a collection of individual widgets to a production-ready data application. Allows me to understand the difference between basic layout containers (Column/Row) and high-level templates that provide built-in functionality like theme toggles and responsive navigation drawers. These skills enhance my ability to deliver polished, ""app-like"" interfaces in VS Code that adhere to professional design standards without requiring extensive front-end web development knowledge.",K7 K11 S12 S14 B1," - "," - "," - "," - "
17/12/2025,4:30 PM,5:30 PM,60,Approved,Self-led Learning outside of EDUKATE,"I learned how to create dynamic, reactive applications using the pn.bind method to link widget values directly to Python functions. I explored several technical reactivity patterns, including the use of value_throttled to prevent excessive function execution, the implementation of ""submit-on-click"" logic for forms, and the use of the watch=True parameter to trigger side effects such as UI state changes. I also gained an introduction to asynchronous programming using asyncio and threading to prevent long-running, blocking tasks from freezing the user interface.

This has given me a better understanding of the difference between immediate reactivity and manual submission patterns in data tool design. Allows me to understand the difference between updating a whole layout versus passing a bound function as a reference to specific parameters for optimized performance. These skills enhance my ability to build stable internal utilities where I can manage data processing tasks—such as a calculation or a data fetch—while maintaining a responsive environment for the user.",K11 S15 B2," - "," - "," - "," - "
17/12/2025,3:30 PM,4:30 PM,60,Approved,Self-led Learning outside of EDUKATE,"I learned how to implement interactive user input components within the pn.widgets namespace, specifically focusing on Button, TextInput, and Select elements. I explored how to configure functional parameters such as the value property for data capture, placeholder text for user guidance, and max_length constraints to ensure data entry remains within specified technical limits.

This has given me a better understanding of how different widget types, such as RadioButtonGroup versus a standard Select dropdown, alter the user interface footprint and interaction flow. Allows me to understand the difference between passive data display and active data capture, including how to manage component states via the disabled parameter. These skills enhance my readiness to build basic interactive data tools where I can apply these widgets to allow colleagues to filter datasets or trigger specific analysis scripts manually.",S15 K11 B2," - "," - "," - "," - "
17/12/2025,2:15 PM,3:30 PM,75,Approved,Self-led Learning outside of EDUKATE,"I learned how to manipulate the positioning of dashboard components and application of UI layout aesthetics, focusing on content alignment, spacing, and margin management within the Panel framework. This is by using the align parameter (supporting both single values and 2-tuples for horizontal/vertical control), the Spacer component for dynamic distribution of space, and margin settings for pixel-perfect fine-tuning. I practiced these techniques by centering interactive elements like buttons and cards within fixed-size containers, and I explored how to use spacers to create proportional vertical gaps between dashboard sections.

This has given me a better understanding of the visual hierarchy and balance required to create professional-grade data interfaces. This has improved my confidence in moving beyond default ""top-left"" layouts to more sophisticated, centered, and balanced designs. Allows me to understand the difference between using programmatic alignment (which scales) and hard-coded margins (which provide fixed spacing). These skills enhance my ability to design intuitive dashboards where key controls and call-to-action buttons are prominently placed and logically separated from other data elements.",K7 S12 S5 K11 B4," - "," - "," - "," - "
17/12/2025,12:00 PM,1:30 PM,90,Approved,Self-led Learning outside of EDUKATE,"I learned how to manage the spatial behavior of dashboard components by implementing different sizing_mode configurations, such as stretch_width, stretch_height, and stretch_both. I did this through a technical exploration of responsive design principles and component sizing constraints of the Panel framework. I explored how to set strict boundary constraints using min_width and max_width to ensure readability on various screen sizes, and I practiced using the FlexBox layout to create fluid, ""wrap-around"" designs. Additionally, I learned how to use pn.Param to create interactive fine-tuning widgets, allowing for real-time adjustments of UI parameters without manual code restarts.

This has given me a better understanding of the difference between inherent, absolute, and responsive sizing in web-based data applications. This has improved my confidence in building dashboards that look professional on both large desktop monitors and smaller laptop screens. Allows me to understand the difference between a ""fixed"" layout that might clip content and a ""responsive"" layout that adapts to user behaviour. These skills enhance my ability to deliver high-quality data products that adhere to modern web accessibility and usability standards.",B2 K7 K11 S5," - "," - "," - "," - "
17/12/2025,10:30 AM,12:00 PM,90,Approved,Self-led Learning outside of EDUKATE,"I learned how to arrange dashboard elements both vertically and horizontally using layout containers, through the application of the pn.Column and pn.Row namespaces to structure and organize data dashboard components effectively. I explored the ""list-like"" nature of these layouts, which allows for programmatic manipulation such as indexing (component[0]), appending, and reordering elements. I also practiced nesting layouts—placing a Row inside a Column—to create complex, professional-grade visual hierarchies that combine markdown headers, interactive widgets like buttons, and data visualizations.

This has given me a better understanding of the difference between simply displaying objects and architecting an organized data application. These skills enhance my ability to build responsive reports where the sizing mode and arrangement adapt logically to the viewer's screen.",B4 K7 K11 S12 S14," - "," - "," - "," - "
17/12/2025,9:45 AM,10:30 AM,45,Approved,Self-led Learning outside of EDUKATE,"I learned how to implement specialized high-level components such as the Number indicator and the Trend indicator to provide immediate visual context to data. I explored how to apply conditional formatting through the colors parameter - allowing the UI to change dynamically based on data thresholds (e.g., green vs. red for wind speeds) - and how to supply dictionary-based time-series data to the Trend component to visualize percentage changes and Sparklines. This has improved my confidence in designing dashboards that go beyond simple tables and plots to include summarized performance metrics and allows me to understand the difference between static data reporting and dynamic status monitoring.",B2 K14 S14 S15 B4," - "," - "," - "," - "
